BACK, STOMACH, YES, 148, 2, .014, 0.000, 0.0000, .0100, 0, 0, 2.0, 2, 12, 967, 4.89, , N, 1.25, .50, .406, 1, 17, 37, 6.04, G, N, 1.80, .47, .043, 1
BACKBONE, SPINE, YES, 147, 35, .240, .115, .0020, .0156, 2, 2, 3.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 10, 6, 6.22, , N, 1.11, .33, .057, 0
BACKBONE, STRONG, YES, 147, 27, .185, 0.000, .0020, 0.0000, 3, 2, 0.0, 0, 14, 4, ¥, , N, 1.17, .08, .028, 0, 11, 202, 3.24, , AJ, 1.30, .60, .297, 1
BACKBONE, VERTEBRA, NO, 147, 10, .068, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 14, 4, ¥, , N, 1.17, .08, .028, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKBONE, BODY, YES, 147, 7, .048, 0.000, .0070, .0040, 5, 2, 2.0, 2, 14, 4, ¥, , N, 1.17, .08, .028, 0, 31, 276, 6.58, , N, 2.03, .45, .015, 1
BACKBONE, RIBS, YES, 147, 5, .034, 0.000, 0.0000, .0010, 0, 2, 1.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 23, 11, 5.86, , N, 1.59, .12, .021, 0
BACKBONE, BACK, YES, 147, 4, .027, 0.000, .1290, .0136, 1, 2, 2.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 12, 967, 4.89, , N, 1.25, .50, .406, 1
BACKBONE, SKELETON, YES, 147, 3, .021, 0.000, 0.0000, .0013, 0, 2, 1.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 11, 2, 6.43, , N, .91, .09, .034, 1
BACKBONE, COURAGE, YES, 147, 2, .014, 0.000, 0.0000, .0152, 0, 2, 1.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 18, 32, 2.51, , N, 2.47, .35, .079, 1
BACKBONE, FOUNDATION, YES, 147, 2, .014, 0.000, 0.0000, .0006, 0, 2, 1.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 19, 38, ¥, G, N, .83, .06, .003, 1
BACKBONE, NERVES, YES, 147, 2, .014, 0.000, .0030, .0071, 1, 2, 2.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 27, 22, ¥, , N, 1.80, .10, .002, 0
BACKBONE, PART, YES, 147, 2, .014, 0.000, .0010, 0.0000, 1, 2, 0.0, 0, 14, 4, ¥, , N, 1.17, .08, .028, 0, 17, 500, 3.05, G, N, 2.07, .47, .097, 1
BACKBONE, STRAIGHT, YES, 147, 2, .014, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 14, 4, ¥, , N, 1.17, .08, .028, 0, 12, 114, 3.89, , AJ, .91, .91, .138, 1
BACKBONE, SUPPORT, YES, 147, 2, .014, 0.000, .0010, .0039, 1, 2, 1.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 25, 180, 3.00, G, N, .95, .30, .003, 1
BACKBONE, T-BONE, NO, 147, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 14, 4, ¥, , N, 1.17, .08, .028, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKGROUND, PAST, YES, 153, 19, .124, 0.000, .0120, .0020, 2, 6, 1.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 10, 281, 2.86, , AJ, .90, .50, .159, 1
BACKGROUND, FOREGROUND, NO, 153, 16, .105, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 67, 4.10, , N, .93, .07, .001, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKGROUND, SCENERY, YES, 153, 10, .065, 0.000, 0.0000, .0016, 0, 6, 2.0, 2, 20, 67, 4.10, , N, .93, .07, .001, 0, 22, 14, ¥, , N, 1.71, .05, .003, 1
BACKGROUND, HISTORY, YES, 153, 9, .059, .014, .0040, .0243, 1, 6, 1.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 21, 286, 3.03, , N, 1.95, .14, .008, 1
BACKGROUND, MUSIC, YES, 153, 9, .059, 0.000, .0010, .0008, 1, 6, 1.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 25, 216, 5.15, , N, 2.64, .88, .108, 1
BACKGROUND, CHECK, YES, 153, 7, .046, 0.000, 0.0000, 0.0000, 0, 6, 0.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 13, 88, 4.38, N, N, 1.00, .39, .020, 1
BACKGROUND, CHILDHOOD, NO, 153, 6, .039, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 67, 4.10, , N, .93, .07, .001, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKGROUND, FAMILY, YES, 153, 6, .039, 0.000, 0.0000, 0.0000, 0, 6, 0.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 25, 331, 5.85, , N, 2.36, .48, .014, 1
BACKGROUND, NOISE, YES, 153, 6, .039, 0.000, .0010, .0022, 1, 6, 1.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 14, 37, 5.29, , N, 2.15, .69, .166, 1
BACKGROUND, INFORMATION, YES, 153, 5, .033, 0.000, 0.0000, 0.0000, 0, 6, 0.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 22, 269, 3.80, , N, 1.05, .23, .046, 1
BACKGROUND, COLOR, YES, 153, 3, .020, 0.000, .0010, .0028, 2, 6, 1.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 12, 141, 4.45, , N, 3.08, 1.00, .090, 1
BACKGROUND, PICTURE, YES, 153, 3, .020, 0.000, .0060, .0028, 2, 6, 2.0, 1, 20, 67, 4.10, , N, .93, .07, .001, 0, 11, 162, 6.75, , N, 1.50, .90, .354, 1
BACKGROUND, SET, YES, 153, 3, .020, 0.000, 0.0000, 0.0000, 0, 6, 0.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 23, 137, 3.05, N, V, .55, .27, .012, 1
BACKGROUND, BLUE, YES, 153, 2, .013, 0.000, .0040, .0009, 1, 6, 1.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 14, 143, 4.49, N, N, 1.69, .54, .203, 1
BACKGROUND, ETHNICITY, NO, 153, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 67, 4.10, , N, .93, .07, .001, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKGROUND, INVESTIGATION, NO, 153, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 67, 4.10, , N, .93, .07, .001, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKGROUND, MEMORY, YES, 153, 2, .013, 0.000, .0010, .0061, 1, 6, 1.0, 1, 20, 67, 4.10, , N, .93, .07, .001, 0, 15, 76, 1.78, , N, 1.86, .36, .017, 1
BACKGROUND, PAINTING, YES, 153, 2, .013, 0.000, .0050, .0030, 2, 6, 2.0, 1, 20, 67, 4.10, , N, .93, .07, .001, 0, 18, 59, 6.18, , N, 3.00, .53, .036, 1
BACKGROUND, PHOTOGRAPHY, NO, 153, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 67, 4.10, , N, .93, .07, .001, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKGROUND, RESUME, NO, 153, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 67, 4.10, , N, .93, .07, .001, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKPACK, SCHOOL, YES, 139, 36, .259, 0.000, .0360, .0177, 4, 1, 2.0, 0, 12, 1, ¥, , N, 1.82, .27, .023, 1, 22, 492, 5.25, T, N, 3.35, .70, .086, 1
BACKPACK, BOOK, YES, 139, 33, .237, 0.000, .0450, .0142, 4, 1, 1.0, 0, 12, 1, ¥, , N, 1.82, .27, .023, 1, 15, 193, 6.09, , N, 1.57, .71, .237, 1
BACKPACK, HIKE, YES, 139, 12, .086, .034, 0.0000, .0049, 0, 1, 1.0, 1, 12, 1, ¥, , N, 1.82, .27, .023, 1, 14, 4, 4.58, , V, 1.29, .29, .011, 1
BACKPACK, BOOKBAG, YES, 139, 11, .079, .171, 0.0000, .1415, 0, 1, 5.0, 5, 12, 1, ¥, , N, 1.82, .27, .023, 1, 12, 0, ¥, , N, 1.73, .09, .014, 1
BACKPACK, CAMPING, YES, 139, 11, .079, 0.000, .0010, .0003, 1, 1, 1.0, 1, 12, 1, ¥, , N, 1.82, .27, .023, 1, 17, 18, ¥, , V, 1.67, .20, .010, 1
